時間,設備,值
2024-10-12 14:24:20,SA-57/LED_LEVEL,7
2024-10-12 16:13:39,LightLevel,26182
2024-10-12 16:13:39,resistance,3
2024-10-12 16:13:39,Temperature,31.7
2024-10-12 16:13:40,LightLevel,25542
2024-10-12 16:13:41,LightLevel,24726
2024-10-12 16:13:42,LightLevel,23957
2024-10-12 16:13:43,LightLevel,23621
2024-10-12 16:13:44,LightLevel,23749
2024-10-12 16:13:45,LightLevel,24261
2024-10-12 16:13:46,LightLevel,24790
2024-10-12 16:13:47,LightLevel,25318
2024-10-12 16:13:48,LightLevel,25734
2024-10-12 16:13:49,LightLevel,26118
2024-10-12 16:13:50,LightLevel,26694
2024-10-12 16:13:51,LightLevel,26582
2024-10-12 16:13:51,Temperature,31.3
2024-10-12 16:13:52,LightLevel,26406
2024-10-12 16:13:52,Temperature,31.7
2024-10-12 16:13:53,LightLevel,26198
2024-10-12 16:13:53,Temperature,31.3
2024-10-12 16:13:54,LightLevel,25894
2024-10-12 16:13:55,LightLevel,25670
2024-10-12 16:13:55,Temperature,31.7
2024-10-12 16:13:56,LightLevel,25350
2024-10-12 16:13:57,LightLevel,25190
2024-10-12 16:13:57,Temperature,31.3
2024-10-12 16:13:58,LightLevel,24646
2024-10-12 16:13:59,LightLevel,24565
2024-10-12 16:13:59,Temperature,31.7
2024-10-12 16:14:01,LightLevel,24501
2024-10-12 16:14:02,LightLevel,24405
2024-10-12 16:14:02,Temperature,31.3
2024-10-12 16:14:03,LightLevel,24373
2024-10-12 16:14:03,Temperature,31.7
2024-10-12 16:14:04,LightLevel,24758
2024-10-12 16:14:04,Temperature,31.3
2024-10-12 16:14:05,LightLevel,24934
2024-10-12 16:14:05,Temperature,31.7
2024-10-12 16:14:06,LightLevel,25094
2024-10-12 16:14:07,LightLevel,24998
2024-10-12 16:14:08,LightLevel,25046
2024-10-12 16:14:09,LightLevel,24325
2024-10-12 16:14:09,Temperature,31.3
2024-10-12 16:14:10,LightLevel,24726
2024-10-12 16:14:10,Temperature,31.7
